GENE,logFC,PValue,FDR
Fam212b,4.55416018829918,4.01355181886294e-16,1.09084324884876e-11
Mdm2,1.63860505976618,1.09471422786568e-14,1.46268290553695e-10
Ccng1,3.06073674325933,1.73993185716929e-14,1.46268290553695e-10
Polk,2.58263360789288,2.15266625782692e-14,1.46268290553695e-10
Aen,2.60617617407538,3.55241513662028e-14,1.81365147278672e-10
Slc19a2,2.46834178070742,4.00379294187436e-14,1.81365147278672e-10
Zfp365,5.2884976585628,1.91192015191817e-13,7.42343968699769e-10
Prrg4,4.69107699860158,6.80087740391727e-13,2.31051308701334e-9
Phlda3,4.10060844211972,1.05394344652237e-12,3.18279210367016e-9
Zmat3,2.86734618185938,1.45727117233956e-12,3.95576676329847e-9
Bax,1.99125028981876,1.6009946795792e-12,3.95576676329847e-9
Ei24,2.04325015479317,2.71311708789207e-12,6.14498411098488e-9
Cep170b,3.34707513921659,1.33417635545866e-11,2.78935224346237e-8
Tnfsf4,6.33253104914752,2.27361677313035e-11,4.41390216263641e-8
Glipr1,2.36540587442878,2.71971401816031e-11,4.9279404866386e-8
Tnfrsf10b,3.38576056686923,6.24166535303043e-11,1.01864591689336e-7
Mapk9,-1.26485327291485,6.37145611949931e-11,1.01864591689336e-7
Mbd2,-1.05795573996103,1.09002722442276e-10,1.64588055181035e-7
Adk,-1.4540046692051,3.24242090156604e-10,4.6209230135857e-7
Casp3,-1.78227540864147,3.40036279008477e-10,4.6209230135857e-7
Minpp1,-2.09685071199025,3.93883838425325e-10,5.09779468788663e-7
Hmcn2,3.58656478454099,4.21169703168511e-10,5.20316880109862e-7
Ubr7,-1.27128336725918,4.64549655803152e-10,5.48956308481473e-7
Lrig1,-1.52685068621073,5.79539765717468e-10,6.48068829133668e-7
Fas,2.30069701025938,5.9611173068699e-10,6.48068829133668e-7
Klhl23,-1.9615697136401,6.96171476815987e-10,7.27060227331311e-7
Qpctl,1.59603745165759,7.2227183258933e-10,7.27060227331311e-7
Dcxr,2.91985505061309,7.56715766408447e-10,7.29462019371629e-7
Epha2,3.50809290482134,7.91101253014817e-10,7.29462019371629e-7
Slc39a8,-2.62669763731078,8.05175340562525e-10,7.29462019371629e-7
B3glct,-1.64069005037116,9.26858807625999e-10,7.92231449630271e-7
Slc25a12,-1.09945011664772,9.32757142947447e-10,7.92231449630271e-7
Nt5c2,-1.3720241842143,9.8685441379084e-10,8.12779276133977e-7
Acad8,1.50357938263367,1.12251888238395e-9,8.97321785420983e-7
Stk24,-0.930230516759873,1.57198496880503e-9,1.22071369906149e-6
Med22,-1.23282341993549,1.64075190785475e-9,1.23872211398845e-6
Exoc6,-1.39720012342866,1.98880871432924e-9,1.43741735561813e-6
Snhg15,2.6402732942006,2.00970821271897e-9,1.43741735561813e-6
Hmgn5,-1.52327579178392,2.38189491133851e-9,1.65993645628896e-6
Bbc3,3.80257234423787,2.53425559415759e-9,1.72196331984023e-6
Commd3,1.04331293173834,2.93331202054286e-9,1.94449969283742e-6
Tmem55a,-1.34091483245448,3.14998888773823e-9,2.03841780904375e-6
Klhdc10,-1.08994229606473,3.28217134661865e-9,2.07456127976159e-6
E130308A19Rik,-1.43164092025808,4.12884491821863e-9,2.55040627346055e-6
Prdx4,-1.04214522249518,4.56979991619328e-9,2.74123080047991e-6
1700007K13Rik,8.00147986512704,4.63948698708842e-9,2.74123080047991e-6
Zfp750,5.01050922511529,4.78706775260236e-9,2.7447316608711e-6
Pdk1,-1.43394896513218,4.89279626192921e-9,2.7447316608711e-6
Ppa2,-1.05125636915846,4.97173584667924e-9,2.7447316608711e-6
Trp53inp1,2.61282937120648,5.0493610156207e-9,2.7447316608711e-6
Mreg,2.44915989958958,5.55987986404813e-9,2.96297989852871e-6
Wdsub1,-1.64594527433942,5.7088178962956e-9,2.98174442111406e-6
